0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6	7	7	8	7	6	7	7	7	8	5	4	6	5	4
0	0	0	0	4	0	0	0	5	0	9	6	5	9	4	4
0	0	2	4	8	7	7	7	8	7	8	7	0	7	0	0
0	0	2	8	4	5	6	6	5	6	7	5	9	0	5	0
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10
10	1	1	1	1	1	1	1	1	1	1	1	1	1	2	10
10	2	1	1	1	1	1	1	1	1	1	1	1	2	2	10
10	2	2	1	1	1	1	1	1	1	1	1	2	2	2	10
10	2	2	2	1	1	1	1	1	1	1	2	2	2	2	10
10	2	2	2	2	1	1	1	1	1	2	2	2	2	2	10
10	2	2	2	2	2	1	1	0	0	0	0	0	0	0	10
10	2	2	2	2	2	2	1	2	2	2	2	2	2	2	10
10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10
10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10

